id,description
single-leg press,Quadriceps
landmine twist,Abdominals
weighted pull-up,Lats
t-bar row with handle,Middle Back
palms-down wrist curl over bench,Forearms
atlas stones,Lower Back
dumbbell front raise to lateral raise,Shoulders
clean from blocks,Quadriceps
incline hammer curls,Biceps
straight-bar wrist roll-up,Forearms
barbell glute bridge,Glutes
clean and press,Shoulders
triceps dip,Triceps
dumbbell farmer's walk,Forearms
palms-up wrist curl over bench,Forearms
barbell full squat,Quadriceps
barbell deficit deadlift,Lower Back
barbell deadlift,Hamstrings
single-arm palm-in dumbbell shoulder press,Shoulders
romanian deadlift with dumbbells,Hamstrings
tire flip,Quadriceps
clean deadlift,Hamstrings
elbow plank,Abdominals
bottoms up,Abdominals
barbell back squat to box,Quadriceps
clean and jerk,Shoulders
single-arm kettlebell push-press,Shoulders
push-press,Quadriceps
suspended ab fall-out,Abdominals
military press,Shoulders
sumo deadlift,Hamstrings
hang clean,Quadriceps
dumbbell v-sit cross jab,Abdominals
reverse band box squat,Quadriceps
standing palms-in shoulder press,Shoulders
standing cable low-to-high twist,Abdominals
decline ez-bar skullcrusher,Triceps
standing behind-the-back wrist curl,Forearms
seated finger curl,Forearms
wide-grip barbell curl,Biceps
dumbbell spell caster,Abdominals
dumbbell floor press,Triceps
lying face down plate neck resistance,Neck
pullups,Lats
decline reverse crunch,Abdominals
dumbbell bench press,Chest
jumping rope,Quadriceps
seated barbell shoulder press,Shoulders
ez-bar spider curl,Biceps
smith machine shrug,Traps
smith machine calf raise,Calves
romanian deadlift from deficit,Hamstrings
power snatch,Hamstrings
pushups,Chest
barbell walking lunge,Quadriceps
front squats with two kettlebells,Quadriceps
spider crawl,Abdominals
power clean from blocks,Hamstrings
single leg push-off,Quadriceps
hip circles (prone),Abductors
reverse-grip bent-over row,Middle Back
seated two-arm palms-up low-pulley wrist curl,Forearms
back extension,Lower Back
close-grip bench press,Chest
cocoons,Abdominals
cross-body crunch,Abdominals
dumbbell flyes,Chest
hammer curls,Biceps
incline dumbbell bench press,Chest
low-cable cross-over,Chest
single-arm high-cable side bend,Abdominals
seated dumbbell press,Shoulders
standing dumbbell shoulder press,Shoulders
ez-bar curl,Biceps
olympic squat,Quadriceps
natural glute ham raise,Hamstrings
axle deadlift,Lower Back
zottman curl,Biceps
glute ham raise-,Hamstrings
single-arm lateral raise,Shoulders
power partials,Shoulders
leverage shrug,Traps
cable v-bar push-down,Triceps
wrist roller,Forearms
